MeasureID,MeasureDescription,MeasureDescriptionF,,
995,"250ml, shredded","250ml, filamenté",,
996,"250ml, melted","250ml, fondu",,
997,"250ml, crumbled","250ml, émietté",,
998,1 creamer,1 godelet,,
999,250ml whipped,250ml fouetté,,
1000,250ml fluid (yields 2 cups whipped),250ml liquide (donne 2 tasses fouettée),,
1001,5ml crumbled,5ml émietté,,
1002,15ml crumbled,15ml émietté,,
1003,250ml sprigs,250ml branches,,
1004,100ml sprigs,100ml branches,,
1005,1 dash,1 pincée,,
1007,125ml halves,125ml moitiés,,
1009,3 halves with liquid,3 moitiés avec liquide,,
1010,250ml halves,250ml moitiés,,
1011,125ml whole,125ml entier,,
1012,250ml whole,250ml entier,,
1013,125ml puree,125ml purée,,
1014,250ml puree,250ml purée,,
1015,125ml cubes,125ml cubes,,
1016,250ml cubes,250ml cubes,,
1017,125ml frozen,125ml congelé,,
1018,250ml frozen,250ml congelé,,
1019,100ml frozen,100ml congelé,,
1020,125ml thawed,125ml dégelé,,
1021,250ml thawed,250ml dégelé,,
1022,100ml thawed,100ml dégelé,,
1023,1 large fruit (11.5cm long),1 gros fruit (11.5cm long),,
1024,1 medium fruit (9cm long),1 fruit moyen  (9cm long),,
1025,1 small fruit (7.5cm long),1 petit fruit (7.5cm long),,
1026,125ml pitted,125ml dénoyauté,,
1027,250ml not pitted,250ml avec noyau,,
1028,250ml pitted,250ml dénoyauté,,
1029,125ml not pitted,125ml avec noyau,,
1030,20 fruits,20 fruits,,
1031,125ml chopped,125ml haché,,
1032,250ml chopped,250ml haché,,
1033,1 slice (1.3cm thick),1 tranche (1.3cm épaisseur),,
1034,5 fruits + liquid,5 fruits + liquide,,
1035,2 figs,2 figues,,
1036,10 figs,10 figues,,
1037,125ml sections,125ml sections,,
1038,250ml sections,250ml sections,,
1040,40 fruits,40 fruits,,
1041,15 fruits,15 fruits,,
1042,5 fruits,5 fruits,,
1043,1 wedge or slice of medium fruit,1 quartier ou tranche d'un fruit moyen,,
1046,1 small fruit,1 petit fruit,,
1047,1 melon,1 melon,,
1048,10 melon balls,10 boules de melon,,
1049,100ml balls,100ml boules,,
1050,125ml balls,125ml boules,,
1051,250ml balls,250ml boules,,
1052,1 melon (13.3cm dia),1 melon (13.3cm dia),,
1053,1 melon (15.2cm - 17.8cm dia),1 melon (15.2cm - 17.8cm dia),,
1054,1 wedge (1/8 of a 13.3cm dia melon),1 quartier (1/8 d'un melon de 13.3cm dia),,
1055,1 wedge (1/8 of a 15.2cm to 17.8cm dia melon),1 quartier (1/8 d'un melon de 15.2cm à 17.8cm dia),,
1056,1 medium fruit (6cm dia),1 fruit moyen (6cm dia),,
1057,1 small fruit (5.7cm dia),1 petit fruit (5.7cm dia),,
1058,1 large fruit (6.4cm dia),1 gros fruit (6.4cm dia),,
1059,125ml mashed,125ml en purée,,
1060,250ml mashed,250ml en purée,,
1061,1 large (14.6cm long x 8.3cm dia),1 gros (14.6cm long x 8.3cm dia),,
1062,1 medium (13cm long x 7.6cm dia),1 moyen (13cm long x 7.6cm dia),,
1063,1 small (11.4cm long x 7cm dia),1 petit (11.4cm long x 7cm dia),,
1064,100ml halves or slices,100ml moitiés ou tranches,,
1065,125ml halves or slices,125ml moitiés ou tranches,,
1066,250ml halves or slices,250ml moitiés ou tranches,,
1067,1 half with liquid,1 moitié avec liquide,,
1068,2 halves,2 moitiés,,
1070,75ml halves,75ml moitiés,,
1071,100ml chunks,100ml gros morceaux,,
1072,125ml chunks,125ml gros morceaux,,
1073,250ml chunks,250ml gros morceaux,,
1076,125ml pulp,125ml pulpe,,
1077,250ml pulp,250ml pulpe,,
1078,1 fruit (17.8cm x 13.3cm dia),1 fruit (17.8cm x 13.3cm dia),,
1081,1 medium fruit (7cm dia),1 fruit moyen (7cm dia),,
1082,1 large fruit (8.3cm dia),1 gros fruit (8.3cm dia),,
1084,1 extra small (less than 15cm long),1 très petit (moins de 15 cm long),,
1085,1 small (15cm to 17.5cm long),1 petit (15cm à 17.5cm long),,
1086,1 medium (18cm to 20cm long),1 moyen (18cm à 20cm long),,
1087,1 large (20cm to 22.5cm long),1 gros (20cm à 22.5cm long),,
1088,1 extra large (23cm or longer),1 très gros (23cm ou plus),,
1089,50 berries,50 baies,,
1090,"100ml pitted, chopped","100ml dénoyauté, haché",,
1091,"125ml pitted, chopped","125ml dénoyauté, haché",,
1092,"250ml pitted, chopped","250ml dénoyauté, haché",,
1095,1 small fruit (3.8cm dia),1 petit fruit (3.8cm dia),,
1096,1/2 fruit (approx 11.5cm dia),1/2 fruit (approx 11.5cm dia),,
1097,1/2 fruit (approx 10cm dia),1/2 fruit (approx 10cm dia),,
1098,1/2 fruit (approx 9cm dia),1/2 fruit (approx 9cm dia),,
1099,100ml seedless,100ml sans pépins,,
1100,125ml seedless,125ml sans pépins,,
1101,250ml seedless,250ml sans pépins,,
1107,1 large melon (16.5cm dia),1 gros melon  (16.5cm dia),,
1108,1 large wedge (1/8 large melon),1 gros quartier (1/8 gros melon),,
1109,1 medium melon (12.7cm dia),1 melon moyen (12.7cm dia),,
1110,1 medium wedge (1/8 medium melon),1 quartier moyen (1/8 melon moyen),,
1111,1 small melon (10.8cm dia),1 petit melon (10.8cm dia),,
1112,1 small wedge (1/8 small melon),1 petit quartier (1/8 petit melon),,
1113,1 large (7.8cm dia),1 gros (7.8cm dia),,
1114,1 medium (6.7cm dia),1 moyen (6.7cm dia),,
1115,1 small (6cm dia),1 petit (cm dia),,
1116,1 large (7cm dia),1 gros (7cm dia),,
1117,1 medium (6.4cm dia),1 moyen (6.4cm dia),,
1118,1 small (5cm dia),1 petit (5cm dia),,
1119,125ml drained,125ml égoutté,,
1120,250ml drained,250ml égoutté,,
1121,9 fruits,9 fruits,,
1122,100ml chopped or diced,100ml haché ou en dés,,
1123,125ml chopped or diced,125ml haché ou en dés,,
1124,250ml chopped or diced,250ml haché ou en dés,,
1125,1 small (2.5cm dia),1 petit (2.5cm dia),,
1126,1 medium (3.2cm dia),1 moyen (3.2cm dia),,
1127,1 large (3.5cm dia),1 gros (3.5cm dia),,
1128,1 extra large (4.1cm dia),1 très gros (4.1cm dia),,
1129,125ml packed,125ml pressé,,
1130,250ml packed,250ml pressé,,
1131,1 miniature box,1 boîte miniature,,
1132,50 raisins,50 raisins,,
1133,75ml pitted,75ml dénoyauté,,
1135,"125ml crushed, diced or chunks","125ml écrasé, en dés ou morceaux",,
1136,"250ml crushed, diced or chunks","250ml écrasé, en dés ou morceaux",,
1137,1 slice (7.6cm dia) + liquid,1 tranche (7.6cm dia) + liquide,,
1138,1 thin slice (1.3cm x 9cm dia),1 tranche mince (1.3cm x 9cm dia),,
1140,1 spear tip (5cm long and less),1 pointe (5 cm long. et moins),,
1141,1 small spear (12.7cm long or less),1 petite tige (12.7cm long. ou moins),,
1142,1 medium spear (13.3cm to 17.8cm long),1 tige moyenne (13.3cm à 17.8cm long),,
1143,1 large spear (18.4cm to 21.6cm long),1 grosse tige (18.4cm à 21.6cm long),,
1144,1 extra large spear (22.2cm to 25.4cm long),1 très grosse tige (22.2cm à 25.4cm long),,
1145,125ml pieces,125ml morceaux,,
1146,250ml pieces,250ml morceaux,,
1152,1 small (10.2cm dia),1 petit (10.2cm dia),,
1153,1 medium (12.7cm dia),1 moyen (12.7cm dia),,
1154,1 large (14cm dia),1 gros (14cm dia),,
1161,9 sprigs,9 branches,,
1166,1 eggplant unpeeled,1 aubergine non pelée,,
1173,125ml shredded or chopped,125ml filamenté ou haché,,
1174,250ml shredded or chopped,250ml filamenté ou haché,,
1175,100ml shredded or chopped,100ml filamenté ou haché,,
1176,1 head (12.7cm dia),1 tête (12.7cm dia),,
1177,1 small leaf,1 petite feuille,,
1178,1 large leaf,1 grosse feuille,,
1179,1 root (24cm long),1 racine (24cm long),,
1186,1 medium (10.5cm long),1 moyen (10.5cm long),,
1187,1 small (7.6cm long),1 petit (7.6cm long),,
1189,1 skin,1 pelure,,
1191,1 squash,1 courge,,
1194,100ml undrained,100ml non drainé,,
1195,125ml undrained,125ml non drainé,,
1196,250ml undrained,250ml non drainé,,
1197,10 sheets,10 feuilles,,
1200,1 leaf (31cm long),1 feuille (31cm long),,
1209,1 radish (17cm long),1 radis (17cm long),,
1212,1 pancake,1 crêpe,,
1214,125ml hearts,125ml coeurs,,
1215,250ml hearts,250ml coeurs,,
1216,1 large gherkin (7.6cm long),1 gros cornichon (7.6cm long),,
1217,1 medium gherkin (7cm lon),1 moyen cornichon (7cm lon),,
1218,1 small gherkin (6.4cm lon),1 petit cornichon (6.4cm lon),,
1219,1 large (10cm long),1 gros (10cm long),,
1220,1 medium (9.5cm long),1 moyen  (9.5cm long),,
1222,"1 large (9.5cm long, 7.6cm dia)","1 gros (9.5cm long, 7.6cm dia)",,
1228,1 large head (15cm to 18cm dia),1 grosse tête (15cm à 18cm dia),,
1229,1 medium head (13cm to 15cm dia),1 tête moyenne  (13cm à 15cm dia),,
1230,1 small head  (10cm dia),1 petite tête  (10cm dia),,
1231,1 cucumber (21cm long),1 concombre (21cm long),,
1232,1 spear (about 13cm long),1 pointe (environ 13cm long),,
1234,10 beans,10 fèves,,
1235,1 beet,1 betterave,,
1237,1 large stalk (28cm to 31cm long),1 grosse tige (28cm à 31cm long),,
1238,1 medium stalk (19cm to 20cm long),1 tige moyenne (19cm à 20cm long),,
1239,1 small stalk (13cm long),1 petite tige (13cm long),,
1241,125ml grated,125ml râpé,,
1242,250ml grated,250ml râpé,,
1243,1 large (18.4cm to 21.6cm long),1 gros (18.4cm à 21.6cm long),,
1244,1 small (14cm long),1 petit (14cm long),,
1245,1 large strip (7.6cm long),1 gros bâtonnet  (7.6cm long),,
1246,1 medium strip,1 moyen bâtonnet,,
1247,1 thin strip,1 bâtonnet mince,,
1248,1 carrot,1 carotte,,
1250,100ml strips,100ml bâtonnets,,
1251,125ml strips,125ml bâtonnets,,
1252,250ml strips,250ml bâtonnets,,
1253,1 strip (10cm long),1 bâtonnet (10cm long),,
1255,yield from 1 large ear (20cm to 23cm long),rendement d'un gros épi (20cm à 23cm long),,
1256,yield from 1 medium ear (17cm to 19cm long),rendement d'un épi moyen (17cm à 19cm long),,
1257,yield from 1 small ear (14cm to 16.5cm long),rendement d'un petit épi (14cm à 16.5cm long),,
1261,1 large head,1 grosse tête,,
1262,1 medium head (15cm dia),1 moyenne tête (15cm dia),,
1263,1 small head,1 petite tête,,
1264,1 cap,1 capuchon,,
1266,1 large slice,1 grosse tranche ,,
1267,1 thin slice,1 tranche mince,,
1268,10 large rings (7.6cm to 10cm dia),10 grosses rondelles (7.6cm à 10cm dia),,
1269,10 medium rings (5cm to 7.6cm dia),10 rondelles moyennes (5cm à 7.6cm dia),,
1270,10 small rings (2.5cm to 5cm dia),10 petites rondelles (2.5cm à 5cm dia),,
1272,1 parsnip (23cm long),1 panais (23cm long),,
1274,1 large (7.6cm to 10.8cm dia),1 gros (7.6cm à 10.8cm dia),,
1275,1 medium (5.7cm to 8.3cm dia),1 moyen (5.7cm à 8.3cm dia),,
1276,1 small (4.4cm to 6.4cm dia),1 petit (4.4cm à 6.4cm dia),,
1282,1 oval patty (7.6cm x 3.8cm x 1.3cm),1 galette ovale (7.6cm x 3.8cm x 1.3cm),,
1283,1 large (2.5cm to 3.2cm dia),1 gros  (2.5cm à 3.2cm dia),,
1284,1 medium (1.9cm to 2.5cm dia),1 moyen  (1.9cm à 2.5cm dia),,
1286,1 squash (10cm dia),1 courge (10cm dia),,
1290,100ml chopped or sliced,100ml haché ou tranché,,
1291,125ml chopped or sliced,125ml haché ou tranché,,
1292,250ml chopped or sliced,250ml haché ou tranché,,
1293,100ml cherry totatoes,100ml tomates cerises,,
1294,125ml cherry tomatoes,125ml tomates cerises,,
1295,250ml cherry tomatoes,250ml tomates cerises,,
1296,1 italian tomato,1 tomate italienne,,
1297,1 plum tomato,1 tomate oblongue,,
1298,1 large whole (7.6cm dia),1 gros entier (7.6cm dia),,
1299,1 medium whole (6.6cm dia),1 moyen entier (6.6cm dia),,
1300,1 small whole (6cm dia),1 petit entier (6cm dia),,
1301,1 wedge (1/4 of medium tomato),1 quartier (1/4 de tomate moyenne),,
1302,"1 medium (7cm long, 6.4cm dia)","1 moyen  (7cm long, 6.4cm dia)",,
1303,"1 ring (7.6cm dia, 0.6cm thick)","1 anneau  (7.6cm dia, 0.6cm épaisseur)",,
1307,60ml hulled,60ml écalé,,
1308,125ml hulled,125ml écalé,,
1309,60ml ground,60ml broyé,,
1310,125ml ground,125ml broyé,,
1311,60ml slices,60ml tranches,,
1312,60ml whole,60ml entier,,
1313,100ml slivered,100ml effilé,,
1314,60ml slivered,60ml effilé,,
1315,125ml slivered,125ml effilé,,
1316,1 almond,1 amande,,
1317,30ml packed,30ml pressé,,
1318,60ml packed,60ml pressé,,
1319,100ml whole or halves,100ml entiers ou moitiés,,
1320,60ml whole or halves,60ml entiers ou moitiés,,
1321,125ml whole or halves,125ml entiers ou moitiés,,
1322,"125ml shredded, not packed","125ml filamenté, non pressé",,
1323,"125ml shredded, packed","125ml filamenté, pressé",,
1324,60ml chopped,60ml haché,,
1325,60ml halves,60ml moitiés,,
1326,60ml pieces,60ml morceaux,,
1328,100ml halves or whole,100ml moitiés ou entier,,
1329,60ml halves or whole,60ml moitiés ou entier,,
1330,125ml halves or whole,125ml moitiés ou entier,,
1332,1 tostada,1 tostada,,
1333,125ml regular,125ml régulière,,
1334,250ml regular,250ml régulière,,
1335,100ml regular,100ml régulière,,
1336,"100ml ripple, ruffle or crinkle cut","100ml coupe ripple, ruffle ou crinkle",,
1337,"125ml ripple, ruffle or crinkle cut","125ml coupe ripple, ruffle ou crinkle",,
1338,"250ml ripple, ruffle or crinkle cut","250ml coupe ripple, ruffle ou crinkle",,
1340,250ml unsifted,250ml non tamisé,,
1341,250ml elbows,250ml coudes,,
1343,250ml spirals,250ml spirales,,
1344,125ml elbows,125ml coudes,,
1345,125ml spirals,125ml spirales,,
1348,20ml,20ml,,
1349,20ml to 30ml,20ml à 30ml,,
1350,30ml to 40ml,30ml à 40ml,,
1352,10ml,10ml,,
1353,500ml,500ml,,
1354,1 bottle (330ml),1 bouteille (330ml),,
1355,1 bottle (750ml),1 bouteille (750ml),,
1356,40ml,40ml,,
1357,1 mini bagel (6.4cm dia),1 mini bagel (6.4cm dia),,
1358,1 small bagel (7.6cm dia),1 petit bagel (7.6cm dia),,
1359,1 medium bagel (9-10cm dia),1 moyen bagel (9-10cm dia),,
1360,1 large bagel (11.4cm dia),1 gros bagel (11.4cm dia),,
1362,1 small biscuit (3.8cm dia),1 petit biscuit (3.8cm dia),,
1363,1 medium biscuit (6.4cm dia),1 biscuit moyen (6.4 cm dia),,
1364,1 large biscuit (10.1cm dia),1 gros biscuit (10.1cm dia),,
1366,100ml purchased,100ml acheté,,
1367,250ml purchased,250ml acheté,,
1370,1/2 medium bagel,1/2 moyen bagel,,
1373,250ml crumbs,250ml miettes,,
1374,1/8 cake,1/8 gâteau,,
1375,1/8 cake (20cm x 20cm),1/8 gâteau (20cm x 20cm),,
1376,1/10 cake (20cm x 20cm),1/10 gâteau (20cm x 20cm),,
1377,1/10 cake (20cm  x 15cm),1/10 gâteau (20cm  x 15cm),,
1378,1/10 cake (454g),1/10 gâteau (454g),,
1379,1/8 cake (454g),1/8 gâteau (454g),,
1380,1/10 cake (25.4cm dia tube),1/10 gâteau (25.4cm dia tube),,
1381,1/8 cake (25.4cm dia tube),1/8 gâteau (25.4cm dia tube),,
1382,1/8 cake (5cm x20cm dia),1/8 gâteau (5cm x20cm dia),,
1383,1/8 cake (482g),1/8 gâteau  (482g),,
1384,1 mini doughnut (3.81cm) or doughnut hole,1 mini beigne (3.81cm) ou trou de beigne,,
1385,250ml poured,250ml versé,,
1386,10 peanuts,10 arachides,,
1388,3 patties (5.7cm dia),3 boulettes (5.7cm dia),,
1389,250ml stirred,250ml mélangé,,
1393,240ml,240ml,,
1394,1 cube,1 cube,,
1399,125ml giblets,125ml abats,,
1400,250ml giblets,250ml abats,,
1401,1 social tea cookie,1 biscuit social thé,,
1402,1 arrowroot cookie,1 biscuit arrowroot,,
1403,1 animal cracker,1 craquelin en forme d'animaux,,
1405,1 bite size cookie,1 mini biscuit (petite bouchée),,
1406,250ml crushed,250ml écrasé,,
1407,1 cracker (2.54cm dia),1 craquelin (2.54cm dia),,
1408,1 goldfish,1 goldfish (p'tits poissons),,
1410,1 cracker (11.4 x 6.4 x .13),1 craquelin (11.4 x 6.4 x .13),,
1411,1 mini cream puff,1 mini chou,,
1413,1 mini,1 mini,,
1414,1 pastry  (17.8cm dia),1 pâtisserie (17.8cm dia),,
1415,1 waffle cone,1 cornet gaufré,,
1417,1 extra large,1 très gros,,
1420,1 shell (16.5cm dia),1 coquille (16.5cm dia),,
1424,1 piece (9.5cm x 4.4cm x .13cm dia),1 morceau  (9.5cm x 4.4cm x .13cm dia),,
1427,125ml chips,125ml brisures,,
1428,250ml chips,250ml brisures,,
1430,10 small beans,10 petit bonbons,,
1431,1 slice (.3cm x 6cm dia),1 tranche (.3cm x 6cm dia),,
1434,1 slice (.6cm x 5cm dia),1 tranche (.6cm x 5cm dia),,
1435,1 slice (.6cm x 6.5cm dia),1 tranche  (.6cm x 6.5cm dia),,
1436,1 slice (.6cm x 8cm dia),1 tranche (.6cm x 8cm dia),,
1438,125ml sifted,125ml tamisé,,
1440,125ml unsifted,125ml non tamisé,,
1443,1 bar (62.5g),1 barre (62.5g),,
1444,10 gummy worms,10 vers en gélatine,,
1445,10 gummy fish,10 poissons en gélatine,,
1446,10 gummy bears,10 oursons en gélatine,,
1447,10 gummy dinosaurs,10 dinosaures en gélatine,,
1451,1 fruit (5.4cm dai),1 fruit (5.4cm dia),,
1453,1small biscuit (6.4cm dia),1 petit biscuit (6.4cm dia),,
1454,30g,30g,,
1455,100g,100g,,
1456,40g,40g,,
1457,140g,140g,,
1458,6 halves,6 moitiés,,
1459,1/2 fruit,1/2 fruit,,
1460,1/4 fruit,1/4 fruit,,
1461,55g,55g,,
1462,2 fruits,2 fruits,,
1463,1 medium fruit (5.7cm dia),1 fruit moyen (5.7cm dia),,
1464,2 medium fruit,2 fruits moyens,,
1465,1/8 fruit,1/8 fruit,,
1466,150g,150g,,
1467,15g,15g,,
1468,60ml unpacked,60ml non pressé,,
1469,1/2 fruit (6.4cm),1/2 fruit (6.4cm),,
1470,85g,85g,,
1471,65g,65g,,
1472,6 spears,6 tiges et fleurs,,
1473,6 medium spears (13.3cm to 17.8cm long),6 tiges moyennes (13.3cm à 17.8cm long)s,,
1474,4 sprouts,4 choux,,
1475,"1 leaf, large","1 feuille, grosse",,
1476,"1 leaf, medium","1 feuille, moyenne",,
1477,"1 head, large (18cm dia)","1 tête, grosse (18cm dia)",,
1478,"1 head, medium (14.5cm  dia)","1 tête, moyenne (14.5cm dia)",,
1479,"1 head, small (10.5cm dia)","1 tête, petite (10.5cm dia)",,
1480,8 medium,8 moyens,,
1481,4g,4g,,
1482,110g,110g,,
1483,200ml pieces,200ml morceaux,,
1484,0.5g,0.5g,,
1485,2 hearts,2 coeurs,,
1486,1/2 root (24cm long),1/2 racine (24cm long),,
1487,1/2 large,1/2 gros,,
1488,10 mushrooms,10 champignons,,
1489,125g,125g,,
1490,10 pods,10 cosses,,
1491,4 peppers,4 piments,,
1492,2 peppers,2 piments,,
1493,8 peppers,8 piments,,
1494,20g,20g,,
1495,2 pancakes (7cm dia),2 crêpes (7cm dia),,
1496,75g,75g,,
1497,70g,70g,,
1498,160g,160g,,
1499,20 strips,20 frites,,
1500,3 radishes (17cm long),3 radis (17cm long),,
1501,1/2 medium,1/2 moyen,,
1503,3 sticks (19.4cm x 1.6cm dia),3 batonnets (19.4cm x 1.6cm dia),,
1505,1/2 slice (11.1cm x 6.3cm x 1.3cm),1/2 tranche (11.1cm x 6.3cm x 1.3cm),,
1507,1/2 slice,1/2 tranche,,
1509,1/2 pita (16.5cm dia),1/2 pita (16.5cm dia),,
1510,80g,80g,,
1515,1/10 cake (340g),1/10 gâteau (340g),,
1517,10 cookies,10 biscuits,,
1518,1/2 cookie (7.0cm x 2.2cm),1/2 biscuit (7.0cm x 2.2cm),,
1521,2 medium cookies (5cm dia),2 biscuits moyens (5cm dia),,
1522,2 medium cookies (5.7cm dia),2 biscuits moyens (5.7cm dia),,
1525,2 medium cookies,2 biscuits moyens,,
1526,3 medium cookies,3 biscuits moyens,,
1527,3 medium cookies (6cm x 6cm),3 biscuits moyens (6cm x 6cm),,
1528,2 medium cookies (1.9cm x 4.4cm),2 biscuits moyens (1.9cm x 4.4cm),,
1529,2 medium cookies (1cm x 8cm),2 biscuits moyens (1cm x 8cm),,
1530,2 medium cookies (7cm dia),2 biscuits moyens (7cm dia),,
1532,3 medium wafers,3 gaufrette moyennes,,
1533,2 medium cookies (8cm x 3cm x 1cm),2 biscuits moyens (8cm x 3cm x 1cm),,
1534,4 medium wafers,4 gaufrettes moyennes,,
1535,15 small crackers,15 petits craquelins,,
1536,3 medium crackers,3 craquelins moyens,,
1537,5 medium crackers,5 craquelins moyens,,
1538,4 toasts,4 biscottes,,
1539,2 medium crackers,2 craquelins moyens,,
1540,4 medium crackers,4 craquelins moyens,,
1541,6 crackers,6 craquelins,,
1542,4 sandwiches,4 sandwichs,,
1543,10 thin squares,10 carrés minces,,
1544,6 squares,6 carrés,,
1545,7g,7g,,
1546,1/2 muffin,1/2 muffin,,
1547,0.6g,0.6g,,
1550,1/2 muffin (5cm x 7cm),1/2 muffin (5cm x 7cm),,
1552,1/6 crust (20cm dia),1/6 croute (20cm dia),,
1555,1/2 roll,1/2 pain mollet,,
1556,1/2 sweet roll (7cm x 7cm),1/2 brioche (7cm x 7cm),,
1557,2 shells (12.7cm dia),2 coquilles (12.7cm dia),,
1558,1/2 pastry,1/2 pâtisserie,,
1559,1 foot,1 pied,,
1560,100ml shaved,100ml tranché très mince,,
1561,250ml shaved,250ml tranché très mince,,
1562,1 half,1 moitié,,
1563,1 date pitted,1 datte dénoyautée,,
1564,1 slice cooked,1 tranche cuite,,
1565,1 slice raw,1 tranche crue,,
1567,15 pieces,15 morceaux,,
1568,27 pieces,27 morceaux,,
1569,17 pieces,17 morceaux,,
1570,16 pieces,16 morceaux,,
1571,18 pieces,18 morceaux,,
1573,10g,10g,,
1574,25g,25g,,
1576,2g,2g,,
1578,1g,1g,,
1579,60g,60g,,
1580,1 food guide serving = 90g,1 portion guide alimentaire = 90g,,
1581,1 food guide serving = 75g,1 portion guide alimentaire = 75g,,
1583,54g,54g,,
1585,4 small,4 petits,,
1586,355ml,355ml,,
1587,130ml,130ml,,
1589,90ml,90ml,,
1590,5g,5g,,
1592,105ml,105ml,,
1597,3g,3g,,
1599,35ml,35ml,,
1601,45g,45g,,
1602,215g,215g,,
1603,2 sticks,2 bâtonnets,,
1604,1/2 box,1/2 boîte,,
1605,6 cookies,6 biscuits,,
1606,2 hushpuppies,2 hush puppies,,
1607,195g,195g,,
1608,3 egg whites,3 blancs d'oeufs,,
1609,2 large eggs,2 oeufs (gros),,
1610,4 egg yolks,4  jaunes d'oeufs,,
1611,1/2 egg,1/2 oeuf,,
1612,10 eggs,10 oeufs,,
1614,1/2 bagel = 1 food guide serving,1/2 bagel  = 1 portion guide alimentaire,,
1615,1 slice = 1 food guide portion,1 tranche  = 1 portion guide alimentaire,,
1616,10 saltines,10 biscotins salés,,
1620,1 small papad,1 petit papad,,
1621,1 large papad,1 grand papad,,
1622,125ml crushed,125ml écrasé,,
1624,1 flower and leaf,1 fleur et feuille,,
1628,1 tortilla (7.6cm dia),1 tortilla (7.6cm dia),,
1629,1 tortilla (12.7cm dia),1 tortilla (12.7cm dia),,
1630,1 tortilla (20cm dia),1 tortilla (20cm dia),,
1631,1 tortilla (25cm dia),1 tortilla (25cm dia),,
1632,1 tortilla (15.2cm dia),1 tortilla (15.2cm dia),,
1633,1 tortilla,1 tortilla,,
1634,1 tortilla (15.2-17.8cm dia),1 tortilla (15.2-17.8cm dia),,
1635,1 tortilla (17.8-20cm dia),1 tortilla (17.8-20cm dia),,
1636,1 tortilla (30.5cm dia),1 tortilla (30.5cm dia),,
1638,2 cakes,2 gâteaux,,
1639,14g,14g,,
1641,15ml ground,15ml moulu,,
1645,1 yolk,1 jaune d'oeuf,,
1647,3 cookies (27g),3 biscuits (27g),,
1649,1 burrito,1 burrito,,
1650,4 crackers (20g),4 craquelins (20g),,
1652,35g,35g,,
1654,30 twists,30 torsades,,
1656,"60ml shredded, not packed","60ml filamenté, non pressé",,
1657,60ml shredded,60ml filamenté,,
1658,100ml flowerets,100ml fleurettes,,
1659,125ml flowerets,125ml fleurettes,,
1660,250ml flowerets,250ml fleurettes,,
1661,1 licorice,1 réglisse,,
1662,2 rectangles,2 rectangles,,
1663,4 crackers,4 craquelins,,
1664,4 slices,4 tranches,,
1665,3 medium,3 moyens,,
1667,99g,99g,,
1668,5 large,5 gros,,
1669,4 medium,4 moyens,,
1670,3 pieces,3 morceaux,,
1671,3 slices,3 tranches,,
1672,1 pee wee egg,1 très petit oeuf,,
1674,1 small bag,1 petit sac,,
1675,17 chips,17 croustilles,,
1676,2 social tea,2 biscuits social thé,,
1677,"1 packet, prepared","1 sachet, préparé",,
1678,1 small container,1 petit contenant,,
1679,1 large container,1 gros contenant,,
502337,"1 ear, small, 14 - 16.5cm","1 épi, petit, 14 - 16.5cm",,
502338,"1 ear, medium, 17 - 19cm","1  épi, moyen, 17 - 19cm",,
502339,"1 ear, large, 20 - 23cm","1 épi, gros, 20 - 23cm",,
502341,1/6 cake (15cm diam),1/6 gâteau (15cm diam),,
502342,1/6,1/6,,
502343,1 individual shell,1 individuel,,
502390,1 sweet roll,1 brioche,,
502403,1 medium (5cm dia),1 moyen (5cm dia),,
502404,1 large (6.4cm dia),"1 gros (6,4cm dia)",,
502405,1 loaf,1 pain,,
502407,1 piece (5cm x 5cm),1 morceau (5cm x 5cm),,
502408,1 spray (about 1/3 second),1 vaporisation (environ 1/3 seconde),,
502409,1 rusk,1 biscotte,,
502411,1 snack bag,1 sachet collation,,
502412,2 bars,2 barres,,
502413,1 hop & go,1 hop & go,,
502414,1 leclerc,1 leclerc,,
502415,nature valley,nature valley,,
502416,quaker,quaker,,
502417,leclerc,leclerc,,
502418,president's choice,choix du président,,
502419,"1 bar, unspecified","1 barre, non spécifiée",,
502420,kellogg's,kellogg's,,
502421,1 large egg white,1 gros blanc d'oeuf,,
502423,1 small (7.6 cm dia),"1 petit (7,6cm dia)",,
502425,1 large (17.8 cm dia),"1 gros (17,8cm dia)",,
502426,1 small (6.4 cm dia),"1 petit (6,4cm dia)",,
502427,1 medium (7cm dia),1 moyen (7cm dia),,
502428,1 large (8.3cm dia),"1 gros (8,3cm dia)",,
502430,1/10 cake (1-layer),1/10 gâteau (1 étage),,
502431,1/10 cake (2-layer),1/10 gâteau (2 étages),,
502434,1 bottle (358ml),1 bouteille (358ml),,
502435,1 cocktail,1 cocktail,,
502436,125ml flaked,125ml flocons,,
502437,250ml flakes,250ml flocons,,
502438,1 fillet (16cm x 9cm x 1cm),1 filet (16cm x 9cm x 1cm),,
502439,1 square (7.5 cm x 9 cm),"1 carré (7,5 cm x 9 cm)",,
502440,1 samosa,1 samosa,,
502441,"1 sandwich, 15 cm long (6'')","1 sandwich, 15 cm long (6'')",,
502442,1 stick (7.6 cm long),"1 bâtonnet (7,6 cm)",,
502443,1 fajita,1 fajita,,
502444,1 quesadilla,1 quésadilla,,
502445,1 large cookie (8.9 cm x 10.2 cm),"1 gros biscuit (8,9 cm x 10,2 cm)",,
502446,1 piece (1/10 of a loaf),1 morceau (1/10 d'un gâteau),,
502447,2 round waffles,2 gauffres rondes,,
502452,2 egg yolks,2 jaunes d'oeufs,,
